id,displayName,sortName,party,state,district,tenureStartDate,nextElectionDate,grade
43865,Rep. James “Jim” Langevin [D-RI2],"Langevin, James “Jim” (Rep.) [D-RI2]",Democrat,RI,2,1/3/2017,1/3/2019,
43807,Rep. Robert Aderholt [R-AL4],"Aderholt, Robert (Rep.) [R-AL4]",Republican,AL,4,1/3/2017,1/3/2019,
43808,Rep. Joe Barton [R-TX6],"Barton, Joe (Rep.) [R-TX6]",Republican,TX,6,1/3/2017,1/3/2019,
43810,Rep. Rob Bishop [R-UT1],"Bishop, Rob (Rep.) [R-UT1]",Republican,UT,1,1/3/2017,1/3/2019,
43811,Rep. Sanford Bishop [D-GA2],"Bishop, Sanford (Rep.) [D-GA2]",Democrat,GA,2,1/3/2017,1/3/2019,
43812,Rep. Marsha Blackburn [R-TN7],"Blackburn, Marsha (Rep.) [R-TN7]",Republican,TN,7,1/3/2017,1/3/2019,
43813,Rep. Earl Blumenauer [D-OR3],"Blumenauer, Earl (Rep.) [D-OR3]",Democrat,OR,3,1/3/2017,1/3/2019,
43816,Rep. Madeleine Bordallo [D-GU0],"Bordallo, Madeleine (Rep.) [D-GU0]",Democrat,GU,0,1/3/2017,1/3/2019,
43817,Rep. Kevin Brady [R-TX8],"Brady, Kevin (Rep.) [R-TX8]",Republican,TX,8,1/3/2017,1/3/2019,
43818,Rep. Robert Brady [D-PA1],"Brady, Robert (Rep.) [D-PA1]",Democrat,PA,1,1/3/2017,1/3/2019,
43819,Rep. Michael Burgess [R-TX26],"Burgess, Michael (Rep.) [R-TX26]",Republican,TX,26,1/3/2017,1/3/2019,
43821,Rep. Ken Calvert [R-CA42],"Calvert, Ken (Rep.) [R-CA42]",Republican,CA,42,1/3/2017,1/3/2019,
43822,Rep. Michael Capuano [D-MA7],"Capuano, Michael (Rep.) [D-MA7]",Democrat,MA,7,1/3/2017,1/3/2019,
43823,Rep. John Carter [R-TX31],"Carter, John (Rep.) [R-TX31]",Republican,TX,31,1/3/2017,1/3/2019,
43824,Rep. Steve Chabot [R-OH1],"Chabot, Steve (Rep.) [R-OH1]",Republican,OH,1,1/3/2017,1/3/2019,
43825,Rep. Lacy Clay [D-MO1],"Clay, Lacy (Rep.) [D-MO1]",Democrat,MO,1,1/3/2017,1/3/2019,
43826,Rep. James “Jim” Clyburn [D-SC6],"Clyburn, James “Jim” (Rep.) [D-SC6]",Democrat,SC,6,1/3/2017,1/3/2019,
43827,Rep. Tom Cole [R-OK4],"Cole, Tom (Rep.) [R-OK4]",Republican,OK,4,1/3/2017,1/3/2019,
43828,Rep. John Conyers [D-MI13],"Conyers, John (Rep.) [D-MI13]",Democrat,MI,13,1/3/2017,1/3/2019,
43829,Rep. Jim Cooper [D-TN5],"Cooper, Jim (Rep.) [D-TN5]",Democrat,TN,5,1/3/2017,1/3/2019,
43830,Rep. Joseph “Joe” Crowley [D-NY14],"Crowley, Joseph “Joe” (Rep.) [D-NY14]",Democrat,NY,14,1/3/2017,1/3/2019,
43831,Rep. John Culberson [R-TX7],"Culberson, John (Rep.) [R-TX7]",Republican,TX,7,1/3/2017,1/3/2019,
43832,Rep. Elijah Cummings [D-MD7],"Cummings, Elijah (Rep.) [D-MD7]",Democrat,MD,7,1/3/2017,1/3/2019,
43833,Rep. Danny Davis [D-IL7],"Davis, Danny (Rep.) [D-IL7]",Democrat,IL,7,1/3/2017,1/3/2019,
43834,Rep. Susan Davis [D-CA53],"Davis, Susan (Rep.) [D-CA53]",Democrat,CA,53,1/3/2017,1/3/2019,
43835,Rep. Peter DeFazio [D-OR4],"DeFazio, Peter (Rep.) [D-OR4]",Democrat,OR,4,1/3/2017,1/3/2019,
43836,Rep. Diana DeGette [D-CO1],"DeGette, Diana (Rep.) [D-CO1]",Democrat,CO,1,1/3/2017,1/3/2019,
43837,Rep. Rosa DeLauro [D-CT3],"DeLauro, Rosa (Rep.) [D-CT3]",Democrat,CT,3,1/3/2017,1/3/2019,
43838,Rep. Mario Diaz-Balart [R-FL25],"Diaz-Balart, Mario (Rep.) [R-FL25]",Republican,FL,25,1/3/2017,1/3/2019,
43839,Rep. Lloyd Doggett [D-TX35],"Doggett, Lloyd (Rep.) [D-TX35]",Democrat,TX,35,1/3/2017,1/3/2019,
43840,Rep. Michael “Mike” Doyle [D-PA14],"Doyle, Michael “Mike” (Rep.) [D-PA14]",Democrat,PA,14,1/3/2017,1/3/2019,
43841,Rep. John “Jimmy” Duncan [R-TN2],"Duncan, John “Jimmy” (Rep.) [R-TN2]",Republican,TN,2,1/3/2017,1/3/2019,
43842,Rep. Eliot Engel [D-NY16],"Engel, Eliot (Rep.) [D-NY16]",Democrat,NY,16,1/3/2017,1/3/2019,
43843,Rep. Anna Eshoo [D-CA18],"Eshoo, Anna (Rep.) [D-CA18]",Democrat,CA,18,1/3/2017,1/3/2019,
43844,Rep. Trent Franks [R-AZ8],"Franks, Trent (Rep.) [R-AZ8]",Republican,AZ,8,1/3/2017,1/3/2019,
43845,Rep. Rodney Frelinghuysen [R-NJ11],"Frelinghuysen, Rodney (Rep.) [R-NJ11]",Republican,NJ,11,1/3/2017,1/3/2019,
43846,Rep. Bob Goodlatte [R-VA6],"Goodlatte, Bob (Rep.) [R-VA6]",Republican,VA,6,1/3/2017,1/3/2019,
43847,Rep. Kay Granger [R-TX12],"Granger, Kay (Rep.) [R-TX12]",Republican,TX,12,1/3/2017,1/3/2019,
43848,Rep. Sam Graves [R-MO6],"Graves, Sam (Rep.) [R-MO6]",Republican,MO,6,1/3/2017,1/3/2019,
43849,Rep. Gene Green [D-TX29],"Green, Gene (Rep.) [D-TX29]",Democrat,TX,29,1/3/2017,1/3/2019,
43850,Rep. Raúl Grijalva [D-AZ3],"Grijalva, Raúl (Rep.) [D-AZ3]",Democrat,AZ,3,1/3/2017,1/3/2019,
43851,Rep. Luis Gutiérrez [D-IL4],"Gutiérrez, Luis (Rep.) [D-IL4]",Democrat,IL,4,1/3/2017,1/3/2019,
43852,Rep. Alcee Hastings [D-FL20],"Hastings, Alcee (Rep.) [D-FL20]",Democrat,FL,20,1/3/2017,1/3/2019,
43853,Rep. Jeb Hensarling [R-TX5],"Hensarling, Jeb (Rep.) [R-TX5]",Republican,TX,5,1/3/2017,1/3/2019,
43854,Rep. Steny Hoyer [D-MD5],"Hoyer, Steny (Rep.) [D-MD5]",Democrat,MD,5,1/3/2017,1/3/2019,
43856,Rep. Darrell Issa [R-CA49],"Issa, Darrell (Rep.) [R-CA49]",Republican,CA,49,1/3/2017,1/3/2019,
43857,Rep. Sheila Jackson Lee [D-TX18],"Jackson Lee, Sheila (Rep.) [D-TX18]",Democrat,TX,18,1/3/2017,1/3/2019,
43858,Rep. Eddie Johnson [D-TX30],"Johnson, Eddie (Rep.) [D-TX30]",Democrat,TX,30,1/3/2017,1/3/2019,
43859,Rep. Sam Johnson [R-TX3],"Johnson, Sam (Rep.) [R-TX3]",Republican,TX,3,1/3/2017,1/3/2019,
43860,Rep. Walter Jones [R-NC3],"Jones, Walter (Rep.) [R-NC3]",Republican,NC,3,1/3/2017,1/3/2019,
43861,Rep. Marcy Kaptur [D-OH9],"Kaptur, Marcy (Rep.) [D-OH9]",Democrat,OH,9,1/3/2017,1/3/2019,
43862,Rep. Ron Kind [D-WI3],"Kind, Ron (Rep.) [D-WI3]",Democrat,WI,3,1/3/2017,1/3/2019,
43863,Rep. Peter “Pete” King [R-NY2],"King, Peter “Pete” (Rep.) [R-NY2]",Republican,NY,2,1/3/2017,1/3/2019,
43864,Rep. Steve King [R-IA4],"King, Steve (Rep.) [R-IA4]",Republican,IA,4,1/3/2017,1/3/2019,
43866,Rep. Rick Larsen [D-WA2],"Larsen, Rick (Rep.) [D-WA2]",Democrat,WA,2,1/3/2017,1/3/2019,
43867,Rep. John Larson [D-CT1],"Larson, John (Rep.) [D-CT1]",Democrat,CT,1,1/3/2017,1/3/2019,
43868,Rep. Barbara Lee [D-CA13],"Lee, Barbara (Rep.) [D-CA13]",Democrat,CA,13,1/3/2017,1/3/2019,
