id,question,description,result,externalLink,voteDate
119241,H.R. 1644: Korean Interdiction and Modernization of Sanctions Act,"On Motion to Suspend the Rules and Pass, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h257,2017-05-04T14:29:00
119240,H.R. 1628: American Health Care Act of 2017,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h256,2017-05-04T14:18:00
119238,H.R. 2192: To amend the Public Health Service Act to eliminate the non-application of certain State waiver provisions to Members of Congress and congressional staff.,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h255,2017-05-04T14:10:00
119235,On Approving the Journal,,Passed,https://www.govtrack.us/congress/votes/115-2017/h254,2017-05-04T11:10:00
119236,"H.Res. 308: Providing for consideration of the bill (H.R. 2192) to amend the Public Health Service Act to eliminate the non-application of certain State waiver provisions to Members of Congress and congressional staff, and providing for further considera",On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h253,2017-05-04T11:03:00
119237,On Ordering the Previous Question: H.Res. 308: Providing for consideration of the bill (H.R. 2192) to amend the Public Health ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h252,2017-05-04T10:55:00
119232,On Approving the Journal,,Passed,https://www.govtrack.us/congress/votes/115-2017/h251,2017-05-03T16:41:00
119231,"H.R. 1678: To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act concerning the statute of limitations for actions to recover disaster or emergency assistance payments, and for other purposes.","On Motion to Suspend the Rules and Pass, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h250,2017-05-03T16:28:00
119233,"H.R. 244: Consolidated Appropriations Act, 2017",Concurring in the Senate Amendment in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h249,2017-05-03T16:19:00
119230,H.R. 1665: Disaster Declaration Improvement Act,"On Motion to Suspend the Rules and Pass, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h248,2017-05-03T14:22:00
119228,"H.Res. 305: Providing for consideration of the Senate amendments to the bill (H.R. 244) to encourage effective, voluntary investments to recruit, employ, and retain men and women who have served in the United States military with annual Federal awards to",On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h247,2017-05-03T14:14:00
119229,On Ordering the Previous Question: H.Res. 305: Providing for consideration of the Senate amendments to the bill (H.R. 244) to ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h246,2017-05-03T14:01:00
119223,On Approving the Journal,,Passed,https://www.govtrack.us/congress/votes/115-2017/h245,2017-05-02T17:34:00
