id,displayName,sortName,party,state,tenureStartDate,nextElectionDate,grade
43255,Sen. Lamar Alexander [R-TN],"Alexander, Lamar (Sen.) [R-TN]",Republican,TN,1/6/2015,1/3/2021,
43154,Sen. Roger Wicker [R-MS],"Wicker, Roger (Sen.) [R-MS]",Republican,MS,1/3/2013,1/3/2019,
43149,Sen. Timothy Kaine [D-VA],"Kaine, Timothy (Sen.) [D-VA]",Democrat,VA,1/3/2013,1/3/2019,
43140,Sen. Ted Cruz [R-TX],"Cruz, Ted (Sen.) [R-TX]",Republican,TX,1/3/2013,1/3/2019,
43123,Sen. Deb Fischer [R-NE],"Fischer, Deb (Sen.) [R-NE]",Republican,NE,1/3/2013,1/3/2019,
43121,Sen. Heidi Heitkamp [D-ND],"Heitkamp, Heidi (Sen.) [D-ND]",Democrat,ND,1/3/2013,1/3/2019,
43112,Sen. Angus King [I-ME],"King, Angus (Sen.) [I-ME]",Independent,ME,1/3/2013,1/3/2019,
43109,Sen. Elizabeth Warren [D-MA],"Warren, Elizabeth (Sen.) [D-MA]",Democrat,MA,1/3/2013,1/3/2019,
42991,Sen. Joe Manchin [D-WV],"Manchin, Joe (Sen.) [D-WV]",Democrat,WV,1/3/2013,1/3/2019,
42958,Sen. Martin Heinrich [D-NM],"Heinrich, Martin (Sen.) [D-NM]",Democrat,NM,1/3/2013,1/3/2019,
42940,Sen. John Barrasso [R-WY],"Barrasso, John (Sen.) [R-WY]",Republican,WY,1/3/2013,1/3/2019,
42938,Sen. Bob Corker [R-TN],"Corker, Bob (Sen.) [R-TN]",Republican,TN,1/3/2013,1/3/2019,
42937,Sen. Sheldon Whitehouse [D-RI],"Whitehouse, Sheldon (Sen.) [D-RI]",Democrat,RI,1/3/2013,1/3/2019,
42936,Sen. Robert “Bob” Casey [D-PA],"Casey, Robert “Bob” (Sen.) [D-PA]",Democrat,PA,1/3/2013,1/3/2019,
42935,Sen. Jon Tester [D-MT],"Tester, Jon (Sen.) [D-MT]",Democrat,MT,1/3/2013,1/3/2019,
42934,Sen. Claire McCaskill [D-MO],"McCaskill, Claire (Sen.) [D-MO]",Democrat,MO,1/3/2013,1/3/2019,
42933,Sen. Amy Klobuchar [D-MN],"Klobuchar, Amy (Sen.) [D-MN]",Democrat,MN,1/3/2013,1/3/2019,
42929,Sen. Kirsten Gillibrand [D-NY],"Gillibrand, Kirsten (Sen.) [D-NY]",Democrat,NY,1/3/2013,1/3/2019,
42926,Sen. Dean Heller [R-NV],"Heller, Dean (Sen.) [R-NV]",Republican,NV,1/3/2013,1/3/2019,
42916,Sen. Joe Donnelly [D-IN],"Donnelly, Joe (Sen.) [D-IN]",Democrat,IN,1/3/2013,1/3/2019,
42914,Sen. Mazie Hirono [D-HI],"Hirono, Mazie (Sen.) [D-HI]",Democrat,HI,1/3/2013,1/3/2019,
42910,Sen. Christopher Murphy [D-CT],"Murphy, Christopher (Sen.) [D-CT]",Democrat,CT,1/3/2013,1/3/2019,
42871,Sen. Debbie Stabenow [D-MI],"Stabenow, Debbie (Sen.) [D-MI]",Democrat,MI,1/3/2013,1/3/2019,
42870,Sen. Bill Nelson [D-FL],"Nelson, Bill (Sen.) [D-FL]",Democrat,FL,1/3/2013,1/3/2019,
42869,Sen. Orrin Hatch [R-UT],"Hatch, Orrin (Sen.) [R-UT]",Republican,UT,1/3/2013,1/3/2019,
42868,Sen. Dianne Feinstein [D-CA],"Feinstein, Dianne (Sen.) [D-CA]",Democrat,CA,1/3/2013,1/3/2019,
42867,Sen. Thomas Carper [D-DE],"Carper, Thomas (Sen.) [D-DE]",Democrat,DE,1/3/2013,1/3/2019,
42866,Sen. Maria Cantwell [D-WA],"Cantwell, Maria (Sen.) [D-WA]",Democrat,WA,1/3/2013,1/3/2019,
42830,Sen. Bernard “Bernie” Sanders [I-VT],"Sanders, Bernard “Bernie” (Sen.) [I-VT]",Independent,VT,1/3/2013,1/3/2019,
42792,Sen. Robert “Bob” Menéndez [D-NJ],"Menéndez, Robert “Bob” (Sen.) [D-NJ]",Democrat,NJ,1/3/2013,1/3/2019,
42737,Sen. Jeff Flake [R-AZ],"Flake, Jeff (Sen.) [R-AZ]",Republican,AZ,1/3/2013,1/3/2019,
42708,Sen. Benjamin Cardin [D-MD],"Cardin, Benjamin (Sen.) [D-MD]",Democrat,MD,1/3/2013,1/3/2019,
42700,Sen. Sherrod Brown [D-OH],"Brown, Sherrod (Sen.) [D-OH]",Democrat,OH,1/3/2013,1/3/2019,
42686,Sen. Tammy Baldwin [D-WI],"Baldwin, Tammy (Sen.) [D-WI]",Democrat,WI,1/3/2013,1/3/2019,
43256,Sen. Thad Cochran [R-MS],"Cochran, Thad (Sen.) [R-MS]",Republican,MS,1/6/2015,1/3/2021,
43257,Sen. Susan Collins [R-ME],"Collins, Susan (Sen.) [R-ME]",Republican,ME,1/6/2015,1/3/2021,
43258,Sen. John Cornyn [R-TX],"Cornyn, John (Sen.) [R-TX]",Republican,TX,1/6/2015,1/3/2021,
43259,Sen. Richard Durbin [D-IL],"Durbin, Richard (Sen.) [D-IL]",Democrat,IL,1/6/2015,1/3/2021,
43260,Sen. Michael Enzi [R-WY],"Enzi, Michael (Sen.) [R-WY]",Republican,WY,1/6/2015,1/3/2021,
43261,Sen. Lindsey Graham [R-SC],"Graham, Lindsey (Sen.) [R-SC]",Republican,SC,1/6/2015,1/3/2021,
43262,Sen. James “Jim” Inhofe [R-OK],"Inhofe, James “Jim” (Sen.) [R-OK]",Republican,OK,1/6/2015,1/3/2021,
43263,Sen. Mitch McConnell [R-KY],"McConnell, Mitch (Sen.) [R-KY]",Republican,KY,1/6/2015,1/3/2021,
43264,Sen. John “Jack” Reed [D-RI],"Reed, John “Jack” (Sen.) [D-RI]",Democrat,RI,1/6/2015,1/3/2021,
43265,Sen. Pat Roberts [R-KS],"Roberts, Pat (Sen.) [R-KS]",Republican,KS,1/6/2015,1/3/2021,
43281,Sen. Shelley Capito [R-WV],"Capito, Shelley (Sen.) [R-WV]",Republican,WV,1/6/2015,1/3/2021,
43347,Sen. Edward “Ed” Markey [D-MA],"Markey, Edward “Ed” (Sen.) [D-MA]",Democrat,MA,1/6/2015,1/3/2021,
43400,Sen. Tom Udall [D-NM],"Udall, Tom (Sen.) [D-NM]",Democrat,NM,1/6/2015,1/3/2021,
