id,question,description,result,externalLink,voteDate
119247,"On the Nomination PN42: Robert Lighthizer, of Florida, to be United States Trade Representative, with the rank of Ambassador",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s127,2017-05-11T13:46:00
119246,"Motion to Invoke Cloture on the Nomination of Robert Lighthizer, of Florida, to be United States Trade Representative: Robert Lighthizer, of Florida, to be United States Trade Representative, with the rank of Ambassador",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s126,2017-05-11T11:00:00
119245,"Motion to Proceed on H.J.Res. 36: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to “Waste Prevention, Production Subject to Royalties, and Resource Conservation”.",,Motion to Proceed Rejected,https://www.govtrack.us/congress/votes/115-2017/s125,2017-05-10T09:50:00
119244,"On the Nomination PN118: Scott Gottlieb, of Connecticut, to be Commissioner of Food and Drugs, Department of Health and Human Services",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s124,2017-05-09T16:30:00
119242,"Motion to Invoke Cloture On the Nomination of Scott Gottlieb to be Commissioner of Food and Drugs: Scott Gottlieb, of Connecticut, to be Commissioner of Food and Drugs, Department of Health and Human Services",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s123,2017-05-08T18:01:00
119243,"On the Nomination PN101: Heather Wilson, of South Dakota, to be Secretary of the Air Force",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s122,2017-05-08T17:32:00
119239,"H.R. 244: Consolidated Appropriations Act, 2017",On the Motion (Motion to Concur in the House Amendment to the Senate Amendment to H.R. 244) in the Senate,Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s121,2017-05-04T13:46:00
119234,H.J.Res. 66: Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.,On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s120,2017-05-03T17:11:00
119227,Motion to Proceed on H.J.Res. 66: Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.,,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s119,2017-05-03T10:43:00
119226,"On the Nomination PN47: Jay Clayton, of New York, to be a Member of the Securities and Exchange Commission for a term expiring June 5, 2021",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s118,2017-05-02T17:23:00
119218,"Motion to Invoke Cloture on the Nomination of Jay Clayton, of New York, to be a Member of the Securities and Exchange Commission: Jay Clayton, of New York, to be a Member of the Securities and Exchange Commission for a term expiring June 5, 2021",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s117,2017-05-01T17:31:00
119213,"On the Nomination PN88: R. Alexander Acosta, of Florida, to be Secretary of Labor",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s116,2017-04-27T18:11:00
119201,"Motion to Invoke Cloture on the Nomination of R. Alexander Acosta, of Florida, to be Secretary of Labor: R. Alexander Acosta, of Florida, to be Secretary of Labor",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s115,2017-04-26T11:32:00
119198,"On the Nomination PN56: Rod J. Rosenstein, of Maryland, to be Deputy Attorney General",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s114,2017-04-25T17:00:00
119197,"Motion to Invoke Cloture on the Nomination of Rod J. Rosenstein, of Maryland, to be Deputy Attorney General: Rod J. Rosenstein, of Maryland, to be Deputy Attorney General",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s113,2017-04-24T18:01:00
119196,"On the Nomination PN90: Sonny Perdue, of Georgia, to be Secretary of Agriculture",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s112,2017-04-24T17:31:00
119195,"On the Nomination PN55: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s111,2017-04-07T11:31:00
119193,"Upon Reconsideration, Motion to Invoke Cloture on the Nomination of Neil M. Gorsuch of Colorado, to be an Associate Justice of the Supreme Court of the United States: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s110,2017-04-06T12:35:00
119194,"On the Decision of the Chair PN55: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States",,Decision of Chair Not Sustained,https://www.govtrack.us/congress/votes/115-2017/s109,2017-04-06T12:18:00
119190,"On the Motion to Adjourn PN55: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States",,Motion to Adjourn Rejected,https://www.govtrack.us/congress/votes/115-2017/s108,2017-04-06T12:04:00
119192,"On the Motion to Postpone PN55: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States",,Motion to Postpone Rejected,https://www.govtrack.us/congress/votes/115-2017/s107,2017-04-06T11:48:00
119191,"On the Motion to Reconsider PN55: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States",,Motion to Reconsider Agreed to,https://www.govtrack.us/congress/votes/115-2017/s106,2017-04-06T11:30:00
119189,"Motion to Invoke Cloture on the Nomination of Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States",,Cloture Motion Rejected,https://www.govtrack.us/congress/votes/115-2017/s105,2017-04-06T11:02:00
119181,"On the Motion to Proceed PN55: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States",,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s104,2017-04-04T14:16:00
119176,"On the Nomination PN59: Elaine C. Duke, of Virginia, to be Deputy Secretary of Homeland Security",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s103,2017-04-04T12:00:00
119173,"S. 89: A bill to amend title 46, United States Code, to exempt old vessels that only operate within inland waterways from the fire-retardant materials requirement if the owners of such vessels make annual structural alterations to at least 10 percent of ",On Passage of the Bill in the Senate,Bill Passed,https://www.govtrack.us/congress/votes/115-2017/s102,2017-04-03T17:31:00
119172,"H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting",On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s101,2017-03-30T15:55:00
119171,"Motion to Proceed on H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting",,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s100,2017-03-30T10:30:00
119168,H.J.Res. 67: Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by qualified State political subdivisions for non-governmental employees.,On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s99,2017-03-30T09:56:00
119162,On the Resolution of Ratification Treaty Doc. 114-12,,Resolution of Ratification Agreed to,https://www.govtrack.us/congress/votes/115-2017/s98,2017-03-28T16:34:00
119155,Motion to Invoke Cloture on Treaty Doc. 114-12,,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s97,2017-03-27T17:36:00
119146,"On the Nomination PN53: David Friedman, of New York, to be Ambassador to Israel",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s96,2017-03-23T14:11:00
119144,"Motion to Invoke Cloture re Nomination of David Friedman to be Ambassador to Israel: David Friedman, of New York, to be Ambassador to Israel",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s95,2017-03-23T13:07:00
119145,"S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to “Protecting the Privacy of Customers of Broadband and Other",On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s94,2017-03-23T12:25:00
119143,H.J.Res. 83: Disapproving the rule submitted by the Department of Labor relating to “Clarification of Employer’s Continuing Obligation to Make and Maintain an Accurate Record of Each Recordable Injury and Illness”.,On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s93,2017-03-22T16:50:00
119136,"H.J.Res. 69: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to “Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on Na",On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s92,2017-03-21T18:11:00
119129,"On the Nomination PN85 and PN86: Charles R. Breyer, of California, to be a Member of the United States Sentencing Commission for a term expiring October 31, 2021",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s91,2017-03-21T12:02:00
119111,"On the Nomination PN87: Lt. Gen. Herbert R. McMaster, Jr., in the Army, to be Lieutenant General",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s90,2017-03-15T14:22:00
119110,"On the Nomination PN41: Daniel Coats, of Indiana, to be Director of National Intelligence",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s89,2017-03-15T13:46:00
119109,"Motion to Invoke Cloture on Daniel Coats, of Indiana, to be Director of National Intelligence: Daniel Coats, of Indiana, to be Director of National Intelligence",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s88,2017-03-15T10:00:00
119108,H.J.Res. 42: Disapproving the rule submitted by the Department of Labor relating to drug testing of unemployment compensation applicants.,On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s87,2017-03-14T17:49:00
119107,"On the Nomination PN49: Seema Verma, of Indiana, to be Administrator of the Centers for Medicare and Medicaid Services",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s86,2017-03-13T17:31:00
119086,"Motion to Invoke Cloture on the Nomination of Seema Verma to be Administrator of the Centers for Medicare and Medicaid Services: Seema Verma, of Indiana, to be Administrator of the Centers for Medicare and Medicaid Services",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s85,2017-03-09T13:46:00
119084,"H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to accountability and State plans under the Elementary and Secondary Education Act of 1965.",On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s84,2017-03-09T12:02:00
119078,"H.J.Res. 58: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues.",On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s83,2017-03-08T14:30:00
119071,"H.J.Res. 44: Disapproving the rule submitted by the Department of the Interior relating to Bureau of Land Management regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Manage",On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s82,2017-03-07T15:59:00
119070,"H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.",On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s81,2017-03-06T18:02:00
119069,"Motion to Proceed on H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.",,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s80,2017-03-02T14:12:00
119068,"On the Nomination PN36: James Richard Perry, of Texas, to be Secretary of Energy",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s79,2017-03-02T13:46:00
119063,"Motion to Invoke Cloture Re: James Richard Perry to be Secretary of Energy: James Richard Perry, of Texas, to be Secretary of Energy",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s78,2017-03-02T10:34:00
